date,spy,nasdaq,dow,russell,ftse
2010-07-26,111.55999755859375,2296.429931640625,10525.4296875,665.219970703125,0.0
2010-07-27,111.55000305175781,2288.25,10537.6904296875,662.1699829101562,0.0
2010-07-28,110.83000183105469,2264.56005859375,10497.8798828125,650.760009765625,0.0
2010-07-29,110.29000091552734,2251.68994140625,10467.16015625,650.4299926757812,0.0
2010-07-30,110.2699966430664,2254.699951171875,10465.9404296875,650.8900146484375,0.0
2010-07-31,111.0999984741211,2268.2533365885415,10535.420247395834,654.5466715494791,0.0
2010-08-01,111.93000030517578,2281.8067220052085,10604.900065104166,658.2033284505209,0.0
2010-08-02,112.76000213623047,2295.360107421875,10674.3798828125,661.8599853515625,0.0
2010-08-03,112.22000122070312,2283.52001953125,10636.3798828125,655.6599731445312,0.0
2010-08-04,112.97000122070312,2303.570068359375,10680.4296875,662.9600219726562,0.0
2010-08-05,112.8499984741211,2293.06005859375,10674.98046875,655.0700073242188,0.0
2010-08-06,112.38999938964844,2288.469970703125,10653.5595703125,650.6799926757812,0.0
2010-08-07,112.58999888102214,2294.2099609375,10668.623046875,653.6266682942709,0.0
2010-08-08,112.78999837239583,2299.949951171875,10683.6865234375,656.5733439127604,0.0
2010-08-09,112.98999786376953,2305.68994140625,10698.75,659.52001953125,0.0
2010-08-10,112.37999725341797,2277.169921875,10644.25,646.3599853515625,0.0
2010-08-11,109.30000305175781,2208.6298828125,10378.830078125,620.3900146484375,0.0
2010-08-12,108.62999725341797,2190.27001953125,10319.9501953125,616.97998046875,0.0
2010-08-13,108.30999755859375,2173.47998046875,10303.150390625,609.489990234375,0.0
2010-08-14,108.29333241780598,2176.2766927083335,10302.770182291666,611.3599853515625,0.0
2010-08-15,108.27666727701823,2179.0734049479165,10302.389973958334,613.22998046875,0.0
2010-08-16,108.26000213623047,2181.8701171875,10302.009765625,615.0999755859375,0.0
2010-08-17,109.58999633789062,2209.43994140625,10405.849609375,626.2999877929688,0.0
2010-08-18,109.79000091552734,2215.699951171875,10415.5400390625,628.0399780273438,0.0
2010-08-19,107.87999725341797,2178.949951171875,10271.2099609375,610.9600219726562,0.0
2010-08-20,107.52999877929688,2179.760009765625,10213.6201171875,610.780029296875,0.0
2010-08-21,107.3933334350586,2173.0499674479165,10200.550130208334,608.0766805013021,0.0
2010-08-22,107.25666809082031,2166.3399251302085,10187.480143229166,605.3733317057291,0.0
2010-08-23,107.12000274658203,2159.6298828125,10174.41015625,602.6699829101562,0.0
2010-08-24,105.52999877929688,2123.760009765625,10040.4501953125,595.5900268554688,0.0
2010-08-25,105.94000244140625,2141.5400390625,10060.0595703125,604.8699951171875,0.0
2010-08-26,105.2300033569336,2118.68994140625,9985.8095703125,599.760009765625,0.0
2010-08-27,106.86000061035156,2153.6298828125,10150.650390625,616.760009765625,0.0
2010-08-28,106.3433329264323,2142.409912109375,10103.677083333334,611.7466634114584,0.0
2010-08-29,105.82666524251302,2131.18994140625,10056.703776041666,606.7333170572916,0.0
2010-08-30,105.30999755859375,2119.969970703125,10009.73046875,601.719970703125,0.0
2010-08-31,105.30999755859375,2114.030029296875,10014.7197265625,602.0599975585938,0.0
2010-09-01,108.45999908447266,2176.840087890625,10269.4697265625,624.989990234375,0.0
2010-09-02,109.47000122070312,2200.010009765625,10320.099609375,632.260009765625,0.0
2010-09-03,110.88999938964844,2233.75,10447.9296875,643.3599853515625,0.0
2010-09-04,110.57749938964844,2227.5349731445312,10421.119873046875,639.8424835205078,0.0
2010-09-05,110.26499938964844,2221.3199462890625,10394.31005859375,636.3249816894531,0.0
2010-09-06,109.95249938964844,2215.1049194335938,10367.500244140625,632.8074798583984,0.0
2010-09-07,109.63999938964844,2208.889892578125,10340.6904296875,629.2899780273438,0.0
2010-09-08,110.41000366210938,2228.8701171875,10387.009765625,634.25,0.0
